Name,Price,Colors,Product Link,Images
Regular Fit Oxford Shirt,$ 24.99,"Light blue/striped, White, Sage green, Light blue, Black, Navy blue, Light beige",https://www2.hm.com/en_us/productpage.1257417006.html,"https://image.hm.com/assets/hm/c9/26/c92625aedc645d29baa1aff90cacb773e3bdea99.jpg, https://image.hm.com/assets/hm/aa/8f/aa8feb22d0472f8a7b4f726e5a00574890920512.jpg, https://image.hm.com/assets/hm/68/57/68574ee51428689db0936e61f16faf3535b96422.jpg, https://image.hm.com/assets/hm/29/f3/29f3f2cf9139e6d107a8f926ab4ecf8cb5be93e1.jpg, https://image.hm.com/assets/hm/58/83/5883e8fe3c0d27f6b4b2aafc7f589c0a54b38696.jpg, https://image.hm.com/assets/hm/ca/84/ca8423bef1118e7149d56dec14cb734adc13915e.jpg, https://image.hm.com/assets/hm/0e/6c/0e6c1cb540cf512e3ba446fcb3e40a84eaea5456.jpg"
Slim-Fit Cotton Chinos,$ 29.99,"Black, Cream, Beige, Navy blue, Beige, Dark gray",https://www2.hm.com/en_us/productpage.1248348001.html,"https://image.hm.com/assets/hm/cc/10/cc109004e5c65785da8f95e14e5d2b24a81b2092.jpg, https://image.hm.com/assets/hm/b0/cc/b0ccc69f42b0a7319c59d5299e67afba4705de33.jpg, https://image.hm.com/assets/hm/e9/f4/e9f45400532211112149cd991e6e1b59f978bb80.jpg, https://image.hm.com/assets/hm/72/9d/729d4bc34c3391f4f26d1d29bc1d4f09408c78df.jpg, https://image.hm.com/assets/hm/05/ea/05eaf4f96d11a3cb3ef7124aeaf4a94f6c9260a3.jpg, https://image.hm.com/assets/hm/44/ec/44ec24c147cba520aa0f8ad673fc6a1fa6364bd0.jpg"
Regular Fit Oxford Shirt,$ 24.99,"White, Light blue/striped, Sage green, Light blue, Black, Navy blue, Light beige",https://www2.hm.com/en_us/productpage.1257417001.html,"https://image.hm.com/assets/hm/aa/8f/aa8feb22d0472f8a7b4f726e5a00574890920512.jpg, https://image.hm.com/assets/hm/c9/26/c92625aedc645d29baa1aff90cacb773e3bdea99.jpg, https://image.hm.com/assets/hm/68/57/68574ee51428689db0936e61f16faf3535b96422.jpg, https://image.hm.com/assets/hm/29/f3/29f3f2cf9139e6d107a8f926ab4ecf8cb5be93e1.jpg, https://image.hm.com/assets/hm/58/83/5883e8fe3c0d27f6b4b2aafc7f589c0a54b38696.jpg, https://image.hm.com/assets/hm/ca/84/ca8423bef1118e7149d56dec14cb734adc13915e.jpg, https://image.hm.com/assets/hm/0e/6c/0e6c1cb540cf512e3ba446fcb3e40a84eaea5456.jpg"
Loose Fit Washed Hoodie,$ 39.99,"Black, Dark brown, Light beige",https://www2.hm.com/en_us/productpage.1241059001.html,"https://image.hm.com/assets/hm/5f/27/5f27083867086f4bdaa18522900def68a8ae3243.jpg, https://image.hm.com/assets/hm/56/e3/56e3c5220795feaa1d45227e557ecebad6783b2f.jpg, https://image.hm.com/assets/hm/5b/f8/5bf805a3b93da47e1290073134333221aad0c317.jpg"
Regular Fit Oxford Shirt,$ 24.99,"Sage green, Light blue/striped, White, Light blue, Black, Navy blue, Light beige",https://www2.hm.com/en_us/productpage.1257417008.html,"https://image.hm.com/assets/hm/68/57/68574ee51428689db0936e61f16faf3535b96422.jpg, https://image.hm.com/assets/hm/c9/26/c92625aedc645d29baa1aff90cacb773e3bdea99.jpg, https://image.hm.com/assets/hm/aa/8f/aa8feb22d0472f8a7b4f726e5a00574890920512.jpg, https://image.hm.com/assets/hm/29/f3/29f3f2cf9139e6d107a8f926ab4ecf8cb5be93e1.jpg, https://image.hm.com/assets/hm/58/83/5883e8fe3c0d27f6b4b2aafc7f589c0a54b38696.jpg, https://image.hm.com/assets/hm/ca/84/ca8423bef1118e7149d56dec14cb734adc13915e.jpg, https://image.hm.com/assets/hm/0e/6c/0e6c1cb540cf512e3ba446fcb3e40a84eaea5456.jpg"
Slim-Fit Cotton Chinos,$ 29.99,"Beige, Cream, Black, Navy blue, Beige, Dark gray",https://www2.hm.com/en_us/productpage.1248348002.html,"https://image.hm.com/assets/hm/e9/f4/e9f45400532211112149cd991e6e1b59f978bb80.jpg, https://image.hm.com/assets/hm/b0/cc/b0ccc69f42b0a7319c59d5299e67afba4705de33.jpg, https://image.hm.com/assets/hm/cc/10/cc109004e5c65785da8f95e14e5d2b24a81b2092.jpg, https://image.hm.com/assets/hm/72/9d/729d4bc34c3391f4f26d1d29bc1d4f09408c78df.jpg, https://image.hm.com/assets/hm/05/ea/05eaf4f96d11a3cb3ef7124aeaf4a94f6c9260a3.jpg, https://image.hm.com/assets/hm/44/ec/44ec24c147cba520aa0f8ad673fc6a1fa6364bd0.jpg"
Slim-Fit Cotton Chinos,$ 29.99,"Navy blue, Cream, Black, Beige, Beige, Dark gray",https://www2.hm.com/en_us/productpage.1248348003.html,"https://image.hm.com/assets/hm/72/9d/729d4bc34c3391f4f26d1d29bc1d4f09408c78df.jpg, https://image.hm.com/assets/hm/b0/cc/b0ccc69f42b0a7319c59d5299e67afba4705de33.jpg, https://image.hm.com/assets/hm/cc/10/cc109004e5c65785da8f95e14e5d2b24a81b2092.jpg, https://image.hm.com/assets/hm/e9/f4/e9f45400532211112149cd991e6e1b59f978bb80.jpg, https://image.hm.com/assets/hm/05/ea/05eaf4f96d11a3cb3ef7124aeaf4a94f6c9260a3.jpg, https://image.hm.com/assets/hm/44/ec/44ec24c147cba520aa0f8ad673fc6a1fa6364bd0.jpg"
Regular Fit Oxford Shirt,$ 24.99,"Light blue, Light blue/striped, White, Sage green, Black, Navy blue, Light beige",https://www2.hm.com/en_us/productpage.1257417002.html,"https://image.hm.com/assets/hm/29/f3/29f3f2cf9139e6d107a8f926ab4ecf8cb5be93e1.jpg, https://image.hm.com/assets/hm/c9/26/c92625aedc645d29baa1aff90cacb773e3bdea99.jpg, https://image.hm.com/assets/hm/aa/8f/aa8feb22d0472f8a7b4f726e5a00574890920512.jpg, https://image.hm.com/assets/hm/68/57/68574ee51428689db0936e61f16faf3535b96422.jpg, https://image.hm.com/assets/hm/58/83/5883e8fe3c0d27f6b4b2aafc7f589c0a54b38696.jpg, https://image.hm.com/assets/hm/ca/84/ca8423bef1118e7149d56dec14cb734adc13915e.jpg, https://image.hm.com/assets/hm/0e/6c/0e6c1cb540cf512e3ba446fcb3e40a84eaea5456.jpg"
Regular-Fit Polo Shirt,$ 44.99,"Light beige, Apricot pink, Dark brown",https://www2.hm.com/en_us/productpage.1291559001.html,"https://image.hm.com/assets/hm/f3/ec/f3ec47e76b5f2614b1eb8b448cfeef86b9689ade.jpg, https://image.hm.com/assets/hm/52/a5/52a57eadbc3827b98155d6131e819b7f5ccdc8f0.jpg, https://image.hm.com/assets/hm/6b/d7/6bd777ec422931013aef5b2b31034199dc3bc713.jpg"
Loose-Fit Jersey Resort Shirt,$ 34.99,"Apricot pink, Dark brown",https://www2.hm.com/en_us/productpage.1291558002.html,"https://image.hm.com/assets/hm/f8/a2/f8a2a21594b3e2f578b1265c20c73360fd27b318.jpg, https://image.hm.com/assets/hm/47/21/47216e409495304713a139bbb9290c7c45df6e31.jpg"
