Name,Price,Colors,Product Link
Regular Fit Oxford Shirt,$ 24.99,"Light blue/striped, White, Sage green, Black, Light blue, Navy blue, Light beige",https://www.hm.com/en_us/productpage.1257417006.html
Slim-Fit Cotton Chinos,$ 29.99,"Black, Cream, Beige, Navy blue, Beige, Dark gray",https://www.hm.com/en_us/productpage.1248348001.html
Regular Fit Oxford Shirt,$ 24.99,"White, Light blue/striped, Sage green, Black, Light blue, Navy blue, Light beige",https://www.hm.com/en_us/productpage.1257417001.html
Loose Fit Washed Hoodie,$ 39.99,"Black, Dark brown, Light beige",https://www.hm.com/en_us/productpage.1241059001.html
Regular Fit Oxford Shirt,$ 24.99,"Sage green, Light blue/striped, White, Black, Light blue, Navy blue, Light beige",https://www.hm.com/en_us/productpage.1257417008.html
Slim-Fit Cotton Chinos,$ 29.99,"Beige, Cream, Black, Navy blue, Beige, Dark gray",https://www.hm.com/en_us/productpage.1248348002.html
Slim-Fit Cotton Chinos,$ 29.99,"Navy blue, Cream, Black, Beige, Beige, Dark gray",https://www.hm.com/en_us/productpage.1248348003.html
Regular Fit Oxford Shirt,$ 24.99,"Black, Light blue/striped, White, Sage green, Light blue, Navy blue, Light beige",https://www.hm.com/en_us/productpage.1257417004.html
Regular-Fit Polo Shirt,$ 44.99,"Light beige, Apricot pink, Dark brown",https://www.hm.com/en_us/productpage.1291559001.html
Loose-Fit Jersey Resort Shirt,$ 34.99,"Apricot pink, Dark brown",https://www.hm.com/en_us/productpage.1291558002.html
Regular-Fit Utility Shirt,$ 44.99,"Khaki green, Dark brown",https://www.hm.com/en_us/productpage.1281429003.html
Regular-Fit Utility Shirt,$ 44.99,"Dark brown, Khaki green",https://www.hm.com/en_us/productpage.1281429002.html
Regular-Fit Cable-Knit Polo Shirt,$ 44.99,"Cream, Dark brown",https://www.hm.com/en_us/productpage.1291561001.html
Regular-Fit Polo Shirt,$ 44.99,"Apricot pink, Light beige, Dark brown",https://www.hm.com/en_us/productpage.1291559003.html
Regular-Fit Polo Shirt,$ 44.99,"Dark brown, Light beige, Apricot pink",https://www.hm.com/en_us/productpage.1291559002.html
Loose-Fit Jersey Resort Shirt,$ 34.99,"Dark brown, Apricot pink",https://www.hm.com/en_us/productpage.1291558001.html
Relaxed Fit Jersey trousers,$ 44.99,"Light beige, Black",https://www.hm.com/en_us/productpage.1281434002.html
Relaxed-Fit Pants,$ 44.99,"Dark brown, Light beige, Khaki green",https://www.hm.com/en_us/productpage.1281430001.html
Relaxed-Fit Pants,$ 44.99,"Light beige, Dark brown, Khaki green",https://www.hm.com/en_us/productpage.1281430003.html
Relaxed-Fit Pants,$ 44.99,"Khaki green, Dark brown, Light beige",https://www.hm.com/en_us/productpage.1281430002.html
Loose-Fit Shirt,$ 44.99,"Dark brown, Sage green, Beige",https://www.hm.com/en_us/productpage.1281436001.html
Loose-Fit Shirt,$ 44.99,"Sage green, Dark brown, Beige",https://www.hm.com/en_us/productpage.1281436002.html
Relaxed Fit Jersey trousers,$ 44.99,"Black, Light beige",https://www.hm.com/en_us/productpage.1281434001.html
Loose-Fit Shirt,$ 44.99,"Beige, Dark brown, Sage green",https://www.hm.com/en_us/productpage.1281436003.html
Regular-Fit Cable-Knit Polo Shirt,$ 44.99,"Dark brown, Cream",https://www.hm.com/en_us/productpage.1291561002.html
Loose-Fit Boxy T-Shirt,$ 24.99,"Black, White, Dark brown, Apricot pink",https://www.hm.com/en_us/productpage.1291560002.html
Slim-Fit Ribbed Tank Top,$ 17.99,"Cream, Black, Apricot pink",https://www.hm.com/en_us/productpage.1291565001.html
Loose-Fit Boxy T-Shirt,$ 24.99,"Dark brown, Black, White, Apricot pink",https://www.hm.com/en_us/productpage.1291560003.html
Regular-Fit Jersey Jacket,$ 54.99,Black,https://www.hm.com/en_us/productpage.1281432001.html
Slim-Fit Ribbed Tank Top,$ 17.99,"Black, Cream, Apricot pink",https://www.hm.com/en_us/productpage.1291565002.html
Slim-Fit Ribbed Tank Top,$ 17.99,"Apricot pink, Cream, Black",https://www.hm.com/en_us/productpage.1291565003.html
Loose-Fit Boxy T-Shirt,$ 24.99,"Apricot pink, Black, White, Dark brown",https://www.hm.com/en_us/productpage.1291560004.html
Loose-Fit Long-Sleeved Jersey Shirt,$ 34.99,"Dark brown, White",https://www.hm.com/en_us/productpage.1291564002.html
Slim Fit Polo Shirt,$ 9.99,"Light beige, Black, Sage green, Navy blue",https://www.hm.com/en_us/productpage.0956343083.html
Regular-Fit Linen-Blend Pants,$ 39.99,"Cream, Dark beige, Black, White, Navy blue",https://www.hm.com/en_us/productpage.1253401001.html
Regular-Fit Textured Resort Shirt,$ 29.99,"Navy blue/striped, Beige/striped, Light blue/striped, Brown/cream striped",https://www.hm.com/en_us/productpage.1261407001.html
Regular Fit T-shirt,$ 7.99,"White, Black, Dark blue, Dark gray, Brown, Gray melange, Light green, Light beige, Pink, Dark eggplant, Light gray, Light beige",https://www.hm.com/en_us/productpage.0685816001.html
Regular-Fit Textured Resort Shirt,$ 29.99,"Navy blue/striped, Beige/striped, Light blue/striped, Brown/cream striped",https://www.hm.com/en_us/productpage.1261407001.html
Slim-Fit Rib-Knit Polo Shirt,$ 34.99,"Dark beige, Navy blue, Cream",https://www.hm.com/en_us/productpage.1285783003.html
Regular Fit Sweatpants,$ 19.99,"Black, Dark blue, Dark taupe, Cream, Light gray melange, Light gray melange, Beige, Black",https://www.hm.com/en_us/productpage.0970817001.html
Regular-Fit Linen Pants,$ 54.99,"Light beige, White, Black, Dark beige, Navy blue",https://www.hm.com/en_us/productpage.1253406001.html
Loose Fit Printed T-shirt,$ 9.99,"Light beige/Better Than Ever, Light blue/Wasted Potential, White/Synthesis, White/Cologne, White/Hardware, White/New Haven, Black/Carbonara",https://www.hm.com/en_us/productpage.0967955102.html
Pima Cotton Shirt with Box Pleats,$ 69.99,Cream,https://www.hm.com/en_us/productpage.1272746001.html
